Algo,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.99792605441279,0.99997320000000,0.99416497900000,0.99706063100000
K-Nearest Neighbours,0.88305775000000,0.91815609900000,0.73499946700000,0.81643162600000
Gassian Naïve Bayes,0.84784781000000,0.86545032100000,0.67489076000000,0.75838323400000
Support Vector Machine,0.99999057300000,0.99997335700000,1.00000000000000,0.99998667800000
